Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,RaspberryPi_Pico,RaspberryPi_Pico_Common_Unspecified,130.0,-50.975,0.0,top
D1,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,162.17,-29.5,0.0,top
J1,RFID Reader,SAMTEC_TS-108-X-A-1,96.5,-38.48,90.0,top
J2,22112022,CONN_A-6373-02A_MOL,167.25,-41.48,-90.0,top
J3,22112042,CONN_A-6373-04A_MOL,86.75,-62.02,-90.0,top
J4,22112042,CONN_A-6373-04A_MOL,86.75,-78.06,-90.0,top
J5,22112042,CONN_A-6373-04A_MOL,86.75,-94.06,-90.0,top
J6,22112022,CONN_A-6373-02A_MOL,86.75,-119.02,-90.0,top
J7,22112022,CONN_A-6373-02A_MOL,172.25,-112.52,-90.0,top
R1,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,105.0,-59.7,0.0,top
R2,500,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,105.0,-65.75,180.0,top
R3,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,105.0,-75.7,0.0,top
R4,500,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,105.0,-81.75,180.0,top
R5,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,105.0,-91.781625,0.0,top
R6,500,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,105.0,-97.831625,180.0,top
U1,DFR0299,MODULE_DFR0299,168.27,-90.017,90.0,top
